community_id,community_name,x,y,group_id,outer_fold
community-00,东苑1期,10000,30000,group-00,0
community-01,西苑2期,20008,30012,group-01,1
community-02,东苑3期,10016,30024,group-02,2
community-03,西苑4期,20024,30036,group-03,3
community-04,东苑5期,10032,30048,group-04,4
community-05,西苑6期,20040,30060,group-05,0
community-06,东苑7期,10048,30072,group-06,1
community-07,西苑8期,20056,30084,group-07,2
community-08,东苑9期,10064,30096,group-08,3
community-09,西苑10期,20072,30108,group-09,4
community-10,东苑11期,10080,30120,group-10,0
community-11,西苑12期,20088,30132,group-11,1
community-12,东苑13期,10096,30144,group-12,2
community-13,西苑14期,20104,30156,group-13,3
community-14,东苑15期,10112,30168,group-14,4
community-15,西苑16期,20120,30180,group-15,0
community-16,东苑17期,10128,30192,group-16,1
community-17,西苑18期,20136,30204,group-17,2
community-18,东苑19期,10144,30216,group-18,3
community-19,西苑20期,20152,30228,group-19,4
community-20,东苑21期,10160,30240,group-20,0
community-21,西苑22期,20168,30252,group-21,1
community-22,东苑23期,10176,30264,group-22,2
community-23,西苑24期,20184,30276,group-23,3
community-24,东苑25期,10192,30288,group-24,4
community-25,西苑26期,20200,30300,group-25,0
community-26,东苑27期,10208,30312,group-26,1
community-27,西苑28期,20216,30324,group-27,2
community-28,东苑29期,10224,30336,group-28,3
community-29,西苑30期,20232,30348,group-29,4
