community_id,school_id,label,observed
community-00,school-east,1,True
community-00,school-west,0,True
community-01,school-east,0,True
community-01,school-west,1,True
community-02,school-east,1,True
community-02,school-west,0,True
community-03,school-east,0,True
community-03,school-west,1,True
community-04,school-east,1,True
community-04,school-west,0,True
community-05,school-east,0,True
community-05,school-west,1,True
community-06,school-east,1,True
community-06,school-west,0,True
community-07,school-east,0,True
community-07,school-west,1,True
community-08,school-east,1,True
community-08,school-west,0,True
community-09,school-east,0,True
community-09,school-west,1,True
community-10,school-east,1,True
community-10,school-west,0,True
community-11,school-east,0,True
community-11,school-west,1,True
community-12,school-east,1,True
community-12,school-west,0,True
community-13,school-east,0,True
community-13,school-west,1,True
community-14,school-east,1,True
community-14,school-west,0,True
community-15,school-east,0,True
community-15,school-west,1,True
community-16,school-east,1,True
community-16,school-west,0,True
community-17,school-east,0,True
community-17,school-west,1,True
community-18,school-east,1,True
community-18,school-west,0,True
community-19,school-east,0,True
community-19,school-west,1,True
community-20,school-east,1,True
community-20,school-west,0,True
community-21,school-east,0,True
community-21,school-west,1,True
community-22,school-east,1,True
community-22,school-west,0,True
community-23,school-east,0,True
community-23,school-west,1,True
community-24,school-east,1,True
community-24,school-west,0,True
community-25,school-east,0,True
community-25,school-west,1,True
community-26,school-east,1,True
community-26,school-west,0,True
community-27,school-east,0,True
community-27,school-west,1,True
community-28,school-east,1,True
community-28,school-west,0,True
community-29,school-east,0,True
community-29,school-west,1,True
